Label,species,taskid,plate_num,object,background,compartment,ilastik_model,capture_datetime,OutFile,elapsed_hours,elapsed_days
At_20251103_003,At,20251103,3,66,11875395,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:26:49Z,NA,0,0
At_20251103_011,At,20251103,11,137,11875324,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_007,At,20251103,7,208,11875253,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:26:55Z,NA,0,0
At_20251103_016,At,20251103,16,0,11875461,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:28:24Z,NA,0,0
At_20251103_029,At,20251103,29,491,11874970,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:38:45Z,NA,0,0
At_20251103_024,At,20251103,24,100,11875361,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:37:19Z,NA,0,0
At_20251103_021,At,20251103,21,96,11875365,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:37:18Z,NA,0,0
At_20251103_005,At,20251103,5,160,11875301,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:26:56Z,NA,0,0
At_20251103_022,At,20251103,22,42,11875419,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:37:18Z,NA,0,0
At_20251103_019,At,20251103,19,28,11875433,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:37:16Z,NA,0,0
At_20251103_025,At,20251103,25,19,11875442,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:38:46Z,NA,0,0
At_20251103_009,At,20251103,9,154,11875307,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_015,At,20251103,15,322,11875139,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_014,At,20251103,14,284,11875177,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:28:23Z,NA,0,0
At_20251103_013,At,20251103,13,237,11875224,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:28:25Z,NA,0,0
At_20251103_010,At,20251103,10,1162,11874299,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:28:22Z,NA,0,0
At_20251103_028,At,20251103,28,88,11875373,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:38:44Z,NA,0,0
At_20251103_008,At,20251103,8,72,11875389,Root,/mnt/ibioldata/LBMC_data/cmaslard/ilastik_model/At/At_root.ilp,2025-11-03T09:26:56Z,NA,0,0
